,Name,Rating,Reviews,About_Locations,Avg_salary,TotalJobs
275,Jindal Stainless,4.2,(3.1k),Iron & Steel | Jajpur +78 other locations,11.5k,8
276,Varroc Group,3.6,(3.1k),Auto Components | Pune +62 other locations,9.4k,62
277,S&P Global,4.0,(3.1k),Analytics & KPO | Hyderabad +47 other locations,20.5k,588
278,MSN Laboratories,3.6,(3.1k),Pharma | Hyderabad +105 other locations,9.5k,32
279,Societe Generale Global Solution Centre,3.6,(3k),IT Services & Consulting | Bengaluru +23 other locations,23.1k,85
280,Quest Global,3.5,(3k),IT Services & Consulting | Bengaluru +49 other locations,21.4k,171
281,Future Group,4.2,(3k),Retail | Mumbai +207 other locations,6.7k,--
282,Sagility,3.9,(3k),BPO | Bengaluru +27 other locations,12k,103
283,Afcons Infrastructure,4.2,(3k),Engineering & Construction | Mumbai +122 other locations,8.5k,29
284,Torrent Pharmaceuticals,4.0,(3k),Pharma | Ahmedabad +130 other locations,10.3k,32
285,IDFC FIRST Bharat,4.2,(3k),Financial Services | Chennai +425 other locations,4.9k,7
286,Ola Electric Mobility,3.3,(3k),Automobile | Bengaluru +429 other locations,9.4k,--
287,Square Yards,3.6,(3k),Internet | Gurugram +51 other locations,9.2k,56
288,ESAF Small Finance Bank,3.6,(3k),Banking | Thrissur +445 other locations,7.4k,37
289,HDFC Sales,3.9,(3k),Financial Services | Mumbai +346 other locations,8.2k,9
290,CMS IT Services,3.1,(3k),IT Services & Consulting | Mumbai +152 other locations,9.4k,31
291,Zensar Technologies,3.7,(2.9k),IT Services & Consulting | Pune +29 other locations,25.6k,371
292,I Process Services,3.8,(2.9k),Recruitment | Mumbai +405 other locations,5.4k,--
293,ACC,3.9,(2.9k),Building Material | Mumbai +274 other locations,9k,--
294,DS Group,4.1,(2.9k),FMCG | Noida +282 other locations,7.6k,44
295,Suzlon Group,4.0,(2.9k),Power | Pune +141 other locations,7.8k,29
296,Tata Elxsi,3.5,(2.9k),IT Services & Consulting | Bengaluru +30 other locations,23k,45
297,Eternal Limited,3.6,(2.9k),Internet | Gurugram +220 other locations,14.6k,12
298,Bharat Financial Inclusion,3.7,(2.9k),Financial Services | Hyderabad +500 other locations,5k,3
299,Fujitsu,3.8,(2.9k),IT Services & Consulting | Pune +41 other locations,17.4k,173
300,VVDN Technologies,3.6,(2.9k),IT Services & Consulting | Gurugram +49 other locations,13.6k,7
301,Shoppers Stop,4.0,(2.9k),Retail | Mumbai +82 other locations,6.9k,51
